pk,model_name,feature_name,importance,importance_pct,rank
pre_ipo_model__lastFiscalYearGrowth,pre_ipo_model,lastFiscalYearGrowth,0.024958,2.5,22
pre_ipo_model__PresidentAge,pre_ipo_model,PresidentAge,0.024924,2.49,23
pre_ipo_model__yearDifference,pre_ipo_model,yearDifference,0.02348,2.35,24
pre_ipo_model__FoundingDateGrouped,pre_ipo_model,FoundingDateGrouped,0.022478,2.25,25
pre_ipo_model__companyAgeAtIPO,pre_ipo_model,companyAgeAtIPO,0.021134,2.11,26
pre_ipo_model__CEOInChargeDuringIPO,pre_ipo_model,CEOInChargeDuringIPO,0.018408,1.84,27
pre_ipo_model__USACompany,pre_ipo_model,USACompany,0.017467,1.75,28
pre_ipo_model__presidentInChargeDuringIPO,pre_ipo_model,presidentInChargeDuringIPO,0.017351,1.74,29
pre_ipo_model__FiscalMonth,pre_ipo_model,FiscalMonth,0.014734,1.47,30
pre_ipo_model__dayOfWeek,pre_ipo_model,dayOfWeek,0.013814,1.38,31
pre_ipo_model__CEOGender,pre_ipo_model,CEOGender,0.013327,1.33,32
pre_ipo_model__PresidentGender,pre_ipo_model,PresidentGender,0.011866,1.19,33
post_ipo_model__firstMonthReturn,post_ipo_model,firstMonthReturn,0.131834,13.18,1
post_ipo_model__firstWeekReturn,post_ipo_model,firstWeekReturn,0.049571,4.96,2
post_ipo_model__LastSale,post_ipo_model,LastSale,0.040205,4.02,3
post_ipo_model__Year,post_ipo_model,Year,0.037443,3.74,4
post_ipo_model__ipoDay0Return,post_ipo_model,ipoDay0Return,0.035462,3.55,5
post_ipo_model__MarketCap,post_ipo_model,MarketCap,0.030389,3.04,6
post_ipo_model__ipoDay0Volatility,post_ipo_model,ipoDay0Volatility,0.029235,2.92,7
post_ipo_model__logMarketCap,post_ipo_model,logMarketCap,0.028836,2.88,8
post_ipo_model__volumeDay0,post_ipo_model,volumeDay0,0.024478,2.45,9
post_ipo_model__Month,post_ipo_model,Month,0.015619,1.56,31
post_ipo_model__PresidentAge,post_ipo_model,PresidentAge,0.015006,1.5,32
post_ipo_model__yearDifference,post_ipo_model,yearDifference,0.014838,1.48,33
post_ipo_model__CEOAge,post_ipo_model,CEOAge,0.014834,1.48,34
post_ipo_model__companyAgeAtIPO,post_ipo_model,companyAgeAtIPO,0.0134,1.34,35
post_ipo_model__FoundingDateGrouped,post_ipo_model,FoundingDateGrouped,0.012263,1.23,36
post_ipo_model__USACompany,post_ipo_model,USACompany,0.01157,1.16,37
post_ipo_model__CEOInChargeDuringIPO,post_ipo_model,CEOInChargeDuringIPO,0.011212,1.12,38
post_ipo_model__FiscalMonth,post_ipo_model,FiscalMonth,0.011017,1.1,39
post_ipo_model__presidentInChargeDuringIPO,post_ipo_model,presidentInChargeDuringIPO,0.010814,1.08,40
post_ipo_model__PresidentGender,post_ipo_model,PresidentGender,0.008186,0.82,41
post_ipo_model__dayOfWeek,post_ipo_model,dayOfWeek,0.007976,0.8,42
post_ipo_model__CEOGender,post_ipo_model,CEOGender,0.00727,0.73,43
post_ipo_model__openDay0,post_ipo_model,openDay0,0.003941,0.39,44
post_ipo_model__closeDay0,post_ipo_model,closeDay0,0.003891,0.39,45
post_ipo_model__closeDay3,post_ipo_model,closeDay3,0.003572,0.36,46
post_ipo_model__highDay0,post_ipo_model,highDay0,0.003291,0.33,47
post_ipo_model__closeDay1,post_ipo_model,closeDay1,0.003287,0.33,48
post_ipo_model__lowDay0,post_ipo_model,lowDay0,0.00302,0.3,49
post_ipo_model__closeDay2,post_ipo_model,closeDay2,0.002768,0.28,50
post_ipo_model__closeDay4,post_ipo_model,closeDay4,0.002428,0.24,51
post_ipo_model__netIncome_M,post_ipo_model,netIncome_M,0.02356,2.36,10
post_ipo_model__Market6MonthTrend,post_ipo_model,Market6MonthTrend,0.023478,2.35,11
post_ipo_model__Sector,post_ipo_model,Sector,0.022622,2.26,12
post_ipo_model__employees,post_ipo_model,employees,0.02247,2.25,13
post_ipo_model__avgFirstWeekVolume,post_ipo_model,avgFirstWeekVolume,0.022032,2.2,14
post_ipo_model__MarketYearTrend,post_ipo_model,MarketYearTrend,0.021957,2.2,15
post_ipo_model__Market3MonthTrend,post_ipo_model,Market3MonthTrend,0.021378,2.14,16
post_ipo_model__MarketMonthTrend,post_ipo_model,MarketMonthTrend,0.021335,2.13,17
post_ipo_model__Revenue_M,post_ipo_model,Revenue_M,0.021221,2.12,18
post_ipo_model__profitMargin,post_ipo_model,profitMargin,0.019561,1.96,19
post_ipo_model__volumeDay1,post_ipo_model,volumeDay1,0.018837,1.88,20
post_ipo_model__volumeDay3,post_ipo_model,volumeDay3,0.018802,1.88,21
post_ipo_model__volumeDay4,post_ipo_model,volumeDay4,0.01826,1.83,22
post_ipo_model__volumeDay2,post_ipo_model,volumeDay2,0.018197,1.82,23
post_ipo_model__Day,post_ipo_model,Day,0.018083,1.81,24
post_ipo_model__marketCapToRevenue,post_ipo_model,marketCapToRevenue,0.017689,1.77,25
post_ipo_model__revenuePerEmployee,post_ipo_model,revenuePerEmployee,0.017236,1.72,26
post_ipo_model__Industry,post_ipo_model,Industry,0.016892,1.69,27
post_ipo_model__YearFounded,post_ipo_model,YearFounded,0.016602,1.66,28
post_ipo_model__employeesGrouped,post_ipo_model,employeesGrouped,0.016291,1.63,29
post_ipo_model__lastFiscalYearGrowth,post_ipo_model,lastFiscalYearGrowth,0.015844,1.58,30
pre_ipo_model__LastSale,pre_ipo_model,LastSale,0.059996,6.0,1
pre_ipo_model__Year,pre_ipo_model,Year,0.056755,5.68,2
pre_ipo_model__MarketCap,pre_ipo_model,MarketCap,0.050365,5.04,3
pre_ipo_model__logMarketCap,pre_ipo_model,logMarketCap,0.048454,4.85,4
pre_ipo_model__Sector,pre_ipo_model,Sector,0.041442,4.14,5
pre_ipo_model__netIncome_M,pre_ipo_model,netIncome_M,0.039998,4.0,6
pre_ipo_model__Market3MonthTrend,pre_ipo_model,Market3MonthTrend,0.037745,3.77,7
pre_ipo_model__MarketYearTrend,pre_ipo_model,MarketYearTrend,0.0376,3.76,8
pre_ipo_model__Market6MonthTrend,pre_ipo_model,Market6MonthTrend,0.037186,3.72,9
pre_ipo_model__MarketMonthTrend,pre_ipo_model,MarketMonthTrend,0.036476,3.65,10
pre_ipo_model__employees,pre_ipo_model,employees,0.035016,3.5,11
pre_ipo_model__Revenue_M,pre_ipo_model,Revenue_M,0.034894,3.49,12
pre_ipo_model__profitMargin,pre_ipo_model,profitMargin,0.032328,3.23,13
pre_ipo_model__Industry,pre_ipo_model,Industry,0.031824,3.18,14
pre_ipo_model__Day,pre_ipo_model,Day,0.03086,3.09,15
pre_ipo_model__employeesGrouped,pre_ipo_model,employeesGrouped,0.029864,2.99,16
pre_ipo_model__marketCapToRevenue,pre_ipo_model,marketCapToRevenue,0.028863,2.89,17
pre_ipo_model__YearFounded,pre_ipo_model,YearFounded,0.027585,2.76,18
pre_ipo_model__CEOAge,pre_ipo_model,CEOAge,0.027334,2.73,19
pre_ipo_model__Month,pre_ipo_model,Month,0.025933,2.59,20
pre_ipo_model__revenuePerEmployee,pre_ipo_model,revenuePerEmployee,0.025544,2.55,21
