CompanyName,factor_name,factor_type,actual_value,baseline_value,deviation,weighted_impact,importance_rank,factor_rank,pk
Apex Financial Group,MarketMonthTrend,strength,1.1,0.2738,0.6309,0.01346,17,1,Apex Financial Group__MarketMonthTrend__strength
Apex Financial Group,Market6MonthTrend,strength,1.3,0.7271,0.4826,0.01133,11,2,Apex Financial Group__Market6MonthTrend__strength
Apex Financial Group,logMarketCap,strength,21.31,20.5095,0.3878,0.011184,8,3,Apex Financial Group__logMarketCap__strength
Bolt,logMarketCap,strength,22.8,20.5095,1.1097,0.032,8,1,Bolt__logMarketCap__strength
Bolt,MarketCap,strength,8.0E9,5.7373061879488E9,0.0909,0.002763,6,2,Bolt__MarketCap__strength
Bolt,marketCapToRevenue,strength,13.33,8.0285,0.1517,0.002684,25,3,Bolt__marketCapToRevenue__strength
Canva,logMarketCap,strength,24.46,20.5095,1.914,0.055192,8,1,Canva__logMarketCap__strength
Canva,MarketCap,strength,4.2E10,5.7373061879488E9,1.4573,0.044286,6,2,Canva__MarketCap__strength
Canva,MarketMonthTrend,strength,0.5,0.2738,0.1727,0.003686,17,3,Canva__MarketMonthTrend__strength
Cerebras Systems,logMarketCap,strength,22.82,20.5095,1.1194,0.03228,8,1,Cerebras Systems__logMarketCap__strength
Cerebras Systems,marketCapToRevenue,strength,40.5,8.0285,0.9293,0.016438,25,2,Cerebras Systems__marketCapToRevenue__strength
Cerebras Systems,MarketCap,strength,8.1E9,5.7373061879488E9,0.095,0.002885,6,3,Cerebras Systems__MarketCap__strength
CloudVault Software,logMarketCap,strength,22.23,20.5095,0.8336,0.024037,8,1,CloudVault Software__logMarketCap__strength
CloudVault Software,MarketMonthTrend,strength,1.3,0.2738,0.7836,0.016718,17,2,CloudVault Software__MarketMonthTrend__strength
CloudVault Software,MarketYearTrend,strength,1.8,0.9348,0.7538,0.01655,15,3,CloudVault Software__MarketYearTrend__strength
Cohere,logMarketCap,strength,22.67,20.5095,1.0468,0.030184,8,1,Cohere__logMarketCap__strength
Cohere,marketCapToRevenue,strength,46.67,8.0285,1.1059,0.019562,25,2,Cohere__marketCapToRevenue__strength
Cohere,MarketCap,strength,7.0E9,5.7373061879488E9,0.0507,0.001542,6,3,Cohere__MarketCap__strength
Cohesity,logMarketCap,strength,23.56,20.5095,1.478,0.042618,8,1,Cohesity__logMarketCap__strength
Cohesity,MarketCap,strength,1.7E10,5.7373061879488E9,0.4526,0.013755,6,2,Cohesity__MarketCap__strength
Cohesity,marketCapToRevenue,strength,21.25,8.0285,0.3784,0.006693,25,3,Cohesity__marketCapToRevenue__strength
Crusoe Energy,logMarketCap,strength,22.33,20.5095,0.882,0.025434,8,1,Crusoe Energy__logMarketCap__strength
Crusoe Energy,marketCapToRevenue,strength,10.0,8.0285,0.0564,9.98E-4,25,2,Crusoe Energy__marketCapToRevenue__strength
Crusoe Energy,netIncome_M,strength,-200.0,-2543.1109,0.0174,4.1E-4,10,3,Crusoe Energy__netIncome_M__strength
Databricks,MarketCap,strength,1.34E11,5.7373061879488E9,5.1546,0.156642,6,1,Databricks__MarketCap__strength
Databricks,logMarketCap,strength,25.62,20.5095,2.476,0.071399,8,2,Databricks__logMarketCap__strength
Databricks,MarketMonthTrend,strength,1.2,0.2738,0.7072,0.015089,17,3,Databricks__MarketMonthTrend__strength
Deel,logMarketCap,strength,23.26,20.5095,1.3326,0.038427,8,1,Deel__logMarketCap__strength
Deel,MarketCap,strength,1.26E10,5.7373061879488E9,0.2758,0.008381,6,2,Deel__MarketCap__strength
Deel,MarketMonthTrend,strength,0.6,0.2738,0.2491,0.005315,17,3,Deel__MarketMonthTrend__strength
Discord,logMarketCap,strength,23.43,20.5095,1.415,0.040802,8,1,Discord__logMarketCap__strength
Discord,MarketCap,strength,1.5E10,5.7373061879488E9,0.3722,0.011312,6,2,Discord__MarketCap__strength
Discord,marketCapToRevenue,strength,18.75,8.0285,0.3068,0.005428,25,3,Discord__marketCapToRevenue__strength
Forgent Power Solutions,logMarketCap,strength,22.9,20.5095,1.1582,0.033397,8,1,Forgent Power Solutions__logMarketCap__strength
Forgent Power Solutions,MarketMonthTrend,strength,1.3,0.2738,0.7836,0.016718,17,2,Forgent Power Solutions__MarketMonthTrend__strength
Forgent Power Solutions,Market6MonthTrend,strength,1.4,0.7271,0.5668,0.013308,11,3,Forgent Power Solutions__Market6MonthTrend__strength
K2 Space,marketCapToRevenue,strength,60.0,8.0285,1.4874,0.02631,25,1,K2 Space__marketCapToRevenue__strength
K2 Space,logMarketCap,strength,21.82,20.5095,0.6349,0.018309,8,2,K2 Space__logMarketCap__strength
K2 Space,lastFiscalYearGrowth,strength,3.0,2.1615,0.0286,4.54E-4,30,3,K2 Space__lastFiscalYearGrowth__strength
Kraken,logMarketCap,strength,23.72,20.5095,1.5555,0.044854,8,1,Kraken__logMarketCap__strength
Kraken,MarketCap,strength,2.0E10,5.7373061879488E9,0.5732,0.017418,6,2,Kraken__MarketCap__strength
Kraken,MarketMonthTrend,strength,1.0,0.2738,0.5545,0.011831,17,3,Kraken__MarketMonthTrend__strength
Lime,logMarketCap,strength,21.82,20.5095,0.6349,0.018309,8,1,Lime__logMarketCap__strength
Lime,netIncome_M,strength,-40.0,-2543.1109,0.0186,4.38E-4,10,2,Lime__netIncome_M__strength
Lime,profitMargin,strength,-0.073,529.1493,-0.0319,-6.23E-4,19,3,Lime__profitMargin__strength
Medline Technologies,logMarketCap,strength,21.89,20.5095,0.6688,0.019287,8,1,Medline Technologies__logMarketCap__strength
Medline Technologies,MarketMonthTrend,strength,1.4,0.2738,0.8599,0.018347,17,2,Medline Technologies__MarketMonthTrend__strength
Medline Technologies,Market6MonthTrend,strength,1.5,0.7271,0.651,0.015285,11,3,Medline Technologies__Market6MonthTrend__strength
Motive,logMarketCap,strength,22.33,20.5095,0.882,0.025434,8,1,Motive__logMarketCap__strength
Motive,MarketMonthTrend,strength,0.4,0.2738,0.0964,0.002057,17,2,Motive__MarketMonthTrend__strength
Motive,netIncome_M,strength,-60.0,-2543.1109,0.0184,4.34E-4,10,3,Motive__netIncome_M__strength
NovaBio Therapeutics,MarketMonthTrend,strength,1.5,0.2738,0.9363,0.019976,17,1,NovaBio Therapeutics__MarketMonthTrend__strength
NovaBio Therapeutics,Market6MonthTrend,strength,1.7,0.7271,0.8195,0.019241,11,2,NovaBio Therapeutics__Market6MonthTrend__strength
NovaBio Therapeutics,MarketYearTrend,strength,1.9,0.9348,0.8409,0.018463,15,3,NovaBio Therapeutics__MarketYearTrend__strength
OpenAI,MarketCap,strength,5.0E11,5.7373061879488E9,19.8632,0.603623,6,1,OpenAI__MarketCap__strength
OpenAI,logMarketCap,strength,26.94,20.5095,3.1156,0.08984,8,2,OpenAI__logMarketCap__strength
OpenAI,marketCapToRevenue,strength,41.67,8.0285,0.9628,0.017031,25,3,OpenAI__marketCapToRevenue__strength
Quantinuum,marketCapToRevenue,strength,83.33,8.0285,2.1551,0.038121,25,1,Quantinuum__marketCapToRevenue__strength
Quantinuum,logMarketCap,strength,23.03,20.5095,1.2212,0.035214,8,2,Quantinuum__logMarketCap__strength
Quantinuum,MarketCap,strength,1.0E10,5.7373061879488E9,0.1713,0.005206,6,3,Quantinuum__MarketCap__strength
Shein,logMarketCap,strength,24.41,20.5095,1.8898,0.054494,8,1,Shein__logMarketCap__strength
Shein,MarketCap,strength,4.0E10,5.7373061879488E9,1.3769,0.041844,6,2,Shein__MarketCap__strength
Shein,employees,strength,16000.0,10076.6252,0.1668,0.003748,13,3,Shein__employees__strength
SpaceX,MarketCap,strength,3.5E11,5.7373061879488E9,13.8351,0.420434,6,1,SpaceX__MarketCap__strength
