LastSale,MarketCap,logMarketCap,Revenue_M,netIncome_M,profitMargin,lastFiscalYearGrowth,employees,revenuePerEmployee,marketCapToRevenue,CEOAge,PresidentAge,companyAgeAtIPO,yearDifference,YearFounded,MarketMonthTrend,Market3MonthTrend,Market6MonthTrend,MarketYearTrend,Year,Month,Day,dayOfWeek,Sector,Industry,CEOGender,PresidentGender,USACompany,CEOInChargeDuringIPO,presidentInChargeDuringIPO,FiscalMonth,employeesGrouped,FoundingDateGrouped,ipoDay0Return,firstWeekReturn,firstMonthReturn,ipoDay0Volatility,avgFirstWeekVolume,closeDay0,openDay0,highDay0,lowDay0,volumeDay0,closeDay1,closeDay2,closeDay3,closeDay4,volumeDay1,volumeDay2,volumeDay3,volumeDay4,Profitable
,,,,,,,,,,,,,,,-0.763107284,0.908224542,1.386435916,1.594625482,2014,7,17,3,Finance,Business Services,,,,,,,,Unknown,0.001,0.002,0.001,0.004,489007.2,10.01,10.0,10.04,10.0,1230910,10.0,10.0,10.01,10.03,708485,33691,210350,261600,1
0.1813,2.094411848E7,16.8574,,-6.21,,,15.0,,,67,67,6,6,2009,-1.667532285,-0.127093136,0.441875487,1.023572601,2015,3,13,4,Health Care,Major Pharmaceuticals,male,male,No,No,No,Sep,0 - 100,2001 - 2010,0.033,0.0486,0.6525,0.033,1020.0,4.4154,4.2742,4.4154,4.2742,2600,4.3917,4.3917,4.3917,4.63,1500,0,0,1000,1
0.273,1.682056685E7,16.6381,2.69,-26.66,-9.9108,,37.0,72702.7,6.25,,,8,8,1996,1.351519601,1.422841774,1.981015448,2.647648657,2004,12,30,3,Health Care,Medical/Dental Instruments,male,male,Yes,No,No,Dec,0 - 100,1951 - 2000,0.0,-0.0545,0.0727,0.0,382.2,39.2753,39.2753,39.2753,39.2753,28,39.2753,33.991,33.991,37.133,0,1869,0,14,1
0.3649,2.017538011E7,16.82,505404.0,-24.91,0.0,0.33,17.0,2.972964705882E10,0.0,54,,5,5,1999,-1.110910682,-1.225772278,-1.590126061,0.162497305,2004,7,27,1,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),male,male,Yes,No,,Dec,0 - 100,1951 - 2000,0.0,0.0,0.0133,0.0,33.2,22.5,22.5,23.4,23.4,166,22.5,22.5,22.5,22.5,0,0,0,0,1
0.4003,6908079.177,15.7482,407518.0,-13.22,0.0,,17.0,2.397164705882E10,0.0,,54,17,17,1998,2.06119335,1.743941873,1.66897006,1.883841692,2015,2,13,4,Health Care,Major Pharmaceuticals,male,male,Yes,,No,Dec,0 - 100,1951 - 2000,0.0,-0.0833,0.0,0.0833,22484.0,6.0,6.0,6.5,6.0,102385,6.0,5.65,5.65,5.5,0,7255,1410,1370,0
0.5721,2.890623754E7,17.1796,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1996,6,18,1,Health Care,Major Pharmaceuticals,,,,,,,,Unknown,0.0,0.0,-0.0191,0.0,0.0,5.2E8,5.2E8,5.2E8,5.2E8,0,5.2E8,5.2E8,5.2E8,5.2E8,0,0,0,0,1
0.64,1.814806464E7,16.7141,,-16.24,,,20.0,,,42,42,0,0,2009,0.79446691,1.435424426,1.622037032,1.915426762,2009,10,21,2,Health Care,Major Pharmaceuticals,male,male,Yes,No,No,Dec,0 - 100,2001 - 2010,0.3214,0.2432,-0.6541,0.3214,917.2,138.75,105.0,138.75,105.0,1433,161.25,180.0,150.0,172.5,1362,1510,211,70,0
0.724,1.690042322E7,16.6428,,-6.69,,,72.0,,,50,,7,7,1997,-0.059173833,-0.551597821,0.680545593,1.195251033,2004,3,29,0,Consumer Non-Durables,Farming/Seeds/Milling,unknown,unknown,No,No,,Sep,0 - 100,1951 - 2000,0.0,0.0084,0.0105,0.0,6400.0,4.75,4.75,4.75,4.75,500,4.79,4.79,4.79,4.79,31500,0,0,0,1
0.77,8100473.92,15.9074,228287.0,-5.03,0.0,,28.0,8.15310714286E9,0.0,,,3,3,2007,1.213817637,-0.658688468,-0.430610639,0.429774399,2010,6,21,0,Health Care,Major Pharmaceuticals,,,Yes,,,Sep,0 - 100,2001 - 2010,0.0,0.0364,0.0364,0.0,400.0,2.007,2.007,2.007,2.007,1000,2.007,2.007,2.007,2.08,0,0,0,1000,1
0.9055,1.06885881E7,16.1847,654836.0,-7.75,0.0,0.43,17.0,3.851976470588E10,0.0,75,75,8,8,2002,1.897360062,1.748101044,2.306386609,1.676722006,2010,4,9,4,Health Care,Industrial Specialties,male,male,Yes,No,No,Dec,0 - 100,2001 - 2010,0.0,3.3333,1.0,0.2,18.2,281.25,281.25,393.75,337.5,28,337.5,375.0,1031.25,1218.75,22,11,5,25,0
1.03,4.240960934E7,17.5629,22.38,-1.68,-0.0751,0.09,120.0,186500.0,1.89,53,52,12,12,1990,-0.374846168,0.03648867,-0.549793708,-1.236036049,2002,11,12,1,Technology,Semiconductors,male,male,No,No,No,Dec,101 - 500,1951 - 2000,0.0968,-0.1529,-0.4235,0.0839,4160.0,8.5,7.75,8.75,8.1,4200,7.55,7.5,7.7,7.2,13300,2000,1200,100,0
1.03,1.141610522E8,18.5531,4.23,-38.45,-9.0898,1.85,113.0,37433.63,26.99,57,57,0,0,2012,1.31908501,1.602319348,1.96490772,1.246482079,2012,2,14,1,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),male,male,Yes,No,No,Mar,101 - 500,2011 - present,0.1,-0.0606,0.3515,0.0,8909.0,1.65,1.5,1.65,1.65,14245,1.65,1.45,1.55,1.55,19900,9100,1300,0,1
