company_name,state_name,ticker_name,exchange_name,profit_millions,debt_millions,assets_millions,ipo_date,ipo_fees_millions,ipo_price_usd_per_share,ipo_amount_millions,industry_name
1347 Property Insurance Holdings Inc.,Florida,PIH,Nasdaq,11.1,0.0,66.5,2014-04-01,0.9,8.0,15.1,Finance
21Vianet Group Inc.,Tennessee,VNET,Nasdaq,0.0,0.0,301.8,2011-04-21,9.6,15.0,195.0,IT
2U Inc.,Maryland,TWOU,Nasdaq,0.0,3.4,26.2,2014-03-28,6.7,13.0,119.3,IT
500Com Ltd,Massachusetts,WBAI,New York,3.0,40.7,107.5,2013-11-22,9.1,13.0,75.2,Retail
58Com Inc.,Virginia,WUBA,New York,0.0,0.0,27.2,2013-10-31,12.2,17.0,187.0,IT
A10 Networks Inc.,California,ATEN,New York,0.0,0.2,54.3,2014-03-21,8.9,15.0,187.5,IT
ACA Capital Holdings Inc,New York,ACAH,New York,0.0,2225.9,6049.3,2006-05-09,11.5,13.0,89.7,Finance
AMIS Holdings Inc,Idaho,AMIS,Nasdaq,0.0,253.8,475.6,2003-08-15,6.3,20.0,600.0,Machinery
ARYx Therapeutics Inc,California,ARYX,Nasdaq,0.0,3.4,35.4,2007-08-30,11.0,10.0,50.0,Chemical
Ac Immune Sa,Utah,ACIU,Nasdaq,0.0,1083.8,1083.8,2016-09-23,10.9,11.0,66.0,Health
Acacia Communications Inc.,Massachusetts,ACIA,Nasdaq,0.0,45.0,89.0,2016-05-13,3.2,23.0,103.5,IT
Acadia Pharmaceuticals Inc,California,ACAD,Nasdaq,0.0,0.9,27.4,2004-02-27,10.7,7.0,35.0,Chemical
Acceleron Pharma Inc.,Massachusetts,XLRN,Nasdaq,0.0,0.0,142.0,2013-09-19,0.4,15.0,83.7,Health
Accuray Inc,California,ARAY,Nasdaq,0.0,0.0,143.7,2006-11-13,7.8,18.0,288.0,Health
Acelrx Pharmaceuticals Inc.,California,ACRX,Nasdaq,0.0,0.0,55.9,2011-02-11,11.1,5.0,40.0,Health
Achaogen Inc.,California,AKAO,Nasdaq,0.0,67.9,509.8,2014-03-12,8.5,12.0,72.0,Retail
Achillion Pharmaceuticals Inc,Connecticut,ACHN,Nasdaq,0.0,5.3,19.4,2006-03-31,10.2,11.5,51.8,Chemical
Aclaris Therapeutics Inc.,Pennsylvania,ACRS,Nasdaq,0.0,43.6,4615.8,2015-10-07,10.1,11.0,55.0,Health
Acm Research Inc.,California,ACMR,Nasdaq,0.0,0.0,114.2,2017-11-03,8.8,5.6,11.2,IT
Acme Packet Inc,Massachusetts,APKT,Nasdaq,0.0,0.0,55.3,2006-06-02,8.8,9.5,109.0,IT
Acushnet Holdings Corp,Massachusetts,GOLF,New York,67.8,0.0,161.5,2016-10-28,9.4,17.0,328.7,Retail
