company,state,ticker,exchange,profit_MUSD,debt_MUSD,assets_MUSD,ipo_date,ipo_fees_MUSD,ipo_price_USDshare,ipo_amount_MUSD,industry,is_synthetic
Microsoft Corp,Washington,MSFT,Nasdaq,46.3,1.9,65.1,1986-02-03,7.071,21.0,58.695,IT,0
Watson Pharmaceuticals Inc,New Jersey,WPI,Nasdaq,8.1,2.1,31.3,1992-03-06,9.25,12.0,43.2,Chemical,0
Citrix Systems Inc,Florida,CTXS,Nasdaq,0.3,0.1,3.9,1995-10-24,9.551,15.0,37.5,IT,0
Pharmaceutical Product Development Inc,North Carolina,PPDI,Nasdaq,0.0,1.4,27.5,1995-11-03,9.507,18.0,36.0,Agriculture,0
Conceptus Inc,California,CPTS,Nasdaq,-5.6,0.0,6.1,1995-11-30,8.656,14.0,42.0,Health,0
FBL Financial Group Inc,Iowa,FFG,New York,0.0,24.6,3090.9,1996-05-02,7.932,17.5,70.0,Finance,0
Kilroy Realty Corp,California,KRC,New York,27.9,270.4,128.3,1996-11-05,7.591,23.0,287.5,Finance,0
Golf Trust of America Inc,South Carolina,GTA,American,11.5,4.3,86.7,1996-11-12,11.205,21.0,71.4,Finance,0
CIENA Corp,Maryland,CIEN,Nasdaq,18.3,0.0,67.4,1996-12-12,7.854,23.0,112.166078,IT,0
Radiant Systems Inc,Georgia,RADS,Nasdaq,-1.2,4.1,14.6,1996-12-12,8.578,9.5,27.55,IT,0
Oyo Geospace Corp,Texas,OYOG,Nasdaq,12.7,1.0,35.1,1997-09-30,8.553,14.0,28.0,Machinery,0
Tier Technologies Inc,Virginia,TIER,Nasdaq,1.7,0.2,13.1,1997-10-10,11.229,8.5,28.9,IT,0
Tag-It Pacific Inc,California,TAG,American,1.1,0.0,5.4,1997-10-21,21.688,4.0,6.72,Machinery,0
VeriSign Inc,Virginia,VRSN,Nasdaq,-18.1,0.0,25.1,1997-11-21,9.07,14.0,42.0,IT,0
Midwest Banc Holdings Inc,Illinois,MBHI,Nasdaq,18.4,67.2,906.8,1997-12-19,9.108,15.0,16.5,Finance,0
SurModics Inc,Minnesota,SRDX,Nasdaq,0.0,0.0,6.5,1997-12-24,9.529,7.5,15.0,Health,0
Ladish Co Inc,Wisconsin,LDSH,Nasdaq,33.8,3.0,165.5,1997-12-23,7.105,13.5,86.2036965,Metal,0
Columbia Sportswear Co,Oregon,COLM,Nasdaq,51.8,2.8,174.5,1997-12-24,7.509,18.0,100.8,Clothes,0
Omega Protein Corp,Texas,OME,New York,0.0,11.4,136.3,1998-01-27,7.07,16.0,136.0,Agriculture,0
American Dental Partners Inc,Massachusetts,ADPI,Nasdaq,0.0,8.0,58.4,1997-11-12,10.919,15.0,33.21,Health,0
Broadcom Corp,California,BRCM,Nasdaq,0.0,0.0,73.1,1998-02-05,8.369,24.0,84.0,Machinery,0
LaSalle Hotel Properties,Maryland,LHO,New York,17.0,206.4,217.9,1998-02-05,8.402,18.0,255.6,Finance,0
Sauer Inc,Iowa,SHS,New York,0.0,67.9,412.5,1998-03-20,8.314,18.0,76.5,Machinery,0
Hawk Corp,Ohio,HWK,New York,0.0,100.1,180.8,1997-11-19,8.145,17.0,87.295,Machinery,0
Federated Investors Inc,Pennsylvania,FII,New York,0.0,332.9,388.9,1998-03-20,6.329,19.0,333.587294,Finance,0
L-3 Communications Holdings Inc,New York,LLL,New York,90.8,405.0,679.2,1998-02-27,8.028,22.0,132.0,Machinery,0
MicroStrategy Inc,Virginia,MSTR,Nasdaq,0.0,0.0,30.6,1998-04-10,8.63,12.0,48.0,IT,0
Global Imaging Systems Inc,Florida,GISX,Nasdaq,22.3,65.8,164.0,,9.646,12.0,72.0,Furniture,0
King Pharmaceuticals Inc,Tennessee,KG,Nasdaq,0.0,177.7,269.4,1997-10-24,9.213,14.0,87.5,Chemical,0
Republic Services Inc,Florida,RSG,New York,0.0,102.2,1582.0,1998-05-13,5.494,24.0,1320.0,Oil,0
USEC Inc,Maryland,USU,New York,162.4,334.5,2338.2,1998-06-29,3.342,14.25,1425.0,Chemical,0
Enterprise Products Partners LP,Texas,EPD,New York,0.0,75.0,714.6,1998-05-13,7.197,22.0,264.0,Oil,0
"Prosperity Bancshares Inc, Houston,Texas",Texas,PRSP,Nasdaq,0.0,0.0,336.4,1998-09-11,8.477,12.0,20.601396,Finance,0
Plains All American Pipeline LP,Texas,PAA,New York,9.1,175.0,149.6,1998-09-23,7.646,20.0,261.7,Oil,0
Internet America Inc,Texas,GEEK,Nasdaq,0.0,0.0,3.0,,8.309,13.0,29.9,IT,0
Concur Technologies Inc,Washington,CNQR,Nasdaq,-17.0,7.0,25.0,1998-08-26,9.02,12.5,38.75,IT,0
MetroCorp Bancshares Inc,Texas,MCBI,Nasdaq,7.7,25.0,503.4,,9.821,11.0,14.85,Finance,0
Bottomline Technologies Inc,New Hampshire,EPAY,Nasdaq,3.7,0.0,11.3,1998-11-13,9.77,13.0,44.2,IT,0
Trex Co Inc,Virginia,TWP,New York,0.0,4.5,60.8,1998-09-11,9.756,10.0,41.03,Chemical,0
Immtech International Inc,Illinois,IMM,Nasdaq,-3.1,0.0,0.6,1998-09-28,15.407,10.0,10.0,Chemical,0
Wesco International Inc,Pennsylvania,WCC,New York,61.4,476.5,994.9,1999-03-03,5.475,18.0,175.05,Energy,0
