CompanyName,LastSale,MarketCap,logMarketCap,Revenue_M,netIncome_M,profitMargin,lastFiscalYearGrowth,employees,revenuePerEmployee,marketCapToRevenue,CEOAge,PresidentAge,companyAgeAtIPO,yearDifference,YearFounded,MarketMonthTrend,Market3MonthTrend,Market6MonthTrend,MarketYearTrend,Year,Month,Day,dayOfWeek,Sector,Industry,CEOGender,PresidentGender,USACompany,CEOInChargeDuringIPO,presidentInChargeDuringIPO,FiscalMonth,employeesGrouped,FoundingDateGrouped
Databricks,60.0,1.34E11,25.62,4800.0,-300.0,-0.063,0.55,7000.0,685714.29,27.92,47.0,45.0,13.0,0.0,2013.0,1.2,1.0,1.3,1.6,2026.0,6.0,15.0,0.0,Technology,Software,Male,Male,Yes,Yes,Yes,January,5000-10000,2010-2020
Canva,38.0,4.2E10,24.46,3300.0,200.0,0.061,1.0,5000.0,660000.0,12.73,37.0,37.0,14.0,0.0,2012.0,0.5,0.3,0.5,0.8,2026.0,9.0,15.0,1.0,Technology,Software,Male,Female,No,Yes,Yes,December,1000-5000,2010-2020
Stripe,70.0,1.06E11,25.39,18000.0,1200.0,0.067,0.26,8000.0,2250000.0,5.89,36.0,34.0,16.0,2.0,2010.0,1.5,1.3,1.6,1.8,2026.0,9.0,10.0,3.0,Financial Services,Fintech,Male,Male,Yes,Yes,Yes,December,5000-10000,2010-2020
OpenAI,28.0,5.0E11,26.94,12000.0,-5000.0,-0.417,2.0,4500.0,2666666.67,41.67,41.0,39.0,11.0,0.0,2015.0,-0.3,-0.5,-0.2,0.2,2026.0,12.0,15.0,1.0,Technology,Artificial Intelligence,Male,Male,Yes,Yes,Yes,December,1000-5000,2010-2020
SpaceX,95.0,3.5E11,26.58,15000.0,2500.0,0.167,0.5,13000.0,1153846.15,23.33,55.0,43.0,24.0,0.0,2002.0,1.8,1.5,1.9,2.0,2026.0,9.0,1.0,1.0,Industrials,Aerospace,Male,Female,Yes,Yes,Yes,December,10000+,2000-2010
Strava,18.0,2.2E9,21.51,400.0,-30.0,-0.075,0.25,600.0,666666.67,5.5,50.0,48.0,17.0,0.0,2009.0,-0.5,-0.7,-0.3,-0.1,2026.0,5.0,15.0,4.0,Technology,Internet Services,Male,Male,Yes,Yes,Yes,December,500-1000,2000-2010
Kraken,50.0,2.0E10,23.72,2500.0,300.0,0.12,1.14,3200.0,781250.0,8.0,43.0,40.0,15.0,0.0,2011.0,1.0,0.9,1.2,1.4,2026.0,4.0,15.0,2.0,Financial Services,Cryptocurrency,Male,Male,Yes,Yes,Yes,December,1000-5000,2010-2020
Cerebras Systems,20.0,8.1E9,22.82,200.0,-80.0,-0.4,0.87,450.0,444444.44,40.5,40.0,40.0,10.0,0.0,2016.0,-0.4,-0.6,-0.3,0.0,2026.0,4.0,15.0,2.0,Technology,Semiconductors,Male,Male,Yes,Yes,Yes,December,100-500,2010-2020
Shein,30.0,4.0E10,24.41,35000.0,2000.0,0.057,0.2,16000.0,2187500.0,1.14,42.0,40.0,14.0,0.0,2012.0,0.2,0.1,0.3,0.5,2026.0,6.0,1.0,0.0,Consumer Services,Retail,Male,Male,No,Yes,Yes,December,10000+,2010-2020
Cohesity,32.0,1.7E10,23.56,800.0,-100.0,-0.125,0.3,3500.0,228571.43,21.25,56.0,50.0,13.0,0.0,2013.0,0.3,0.2,0.4,0.6,2026.0,6.0,15.0,0.0,Technology,Software,Male,Male,Yes,Yes,Yes,July,1000-5000,2010-2020
